"~start_node_id","~start_node_labels","~start_node_property_name","~relationship_type","~end_node_id","~end_node_labels","~end_node_property_published_year","~end_node_property_isbn13","~end_node_property_description","~end_node_property_average_rating","~end_node_property_title","~start_node_property_published_year","~start_node_property_isbn13","~start_node_property_description","~start_node_property_average_rating","~start_node_property_title","~end_node_property_name"
"1","Author","Joanne Harris","WROTE","824","Book",2000,"9780141000183","When the beautiful and mysterious Vianne moves to Lansquenet and opens a chocolate shop across from the church, the inhabitants of the tiny village find themselves torn between the solemn law of religion and the joyful rewards of Vianne's confections. Reprint. (A Miramax film, releasing December 2000, directed by Lasse Hallstrm, starring Juliette Binoche, Johnny Depp, Alfred Molina, Lena Olin, & Judi Dench) (General Fiction)",3.96,"Chocolat",,,,,,
"1","Author","Joanne Harris","WROTE","3329","Book",2003,"9780385607018","Joanne Harris's bestselling novels, Chocolat, Blackberry Wine and Five-Quarters of the Orange, are affectionately known as her culinary trilogy. In them, Joanne Harris whets our appetites with some tantalisingly delicious recipes taken from her own grandmere's recipe book. For, like Framboise, the heroine of Five-Quarters of the Orange, Joanne has family recipes which have been passed down through the generations and which she shares with us now in a mouth-watering celebration of French cuisine. From pumkin soup to Moules Mariniere, from Tarte aux cassis to Fouace Aveyronnaise (Grandmother's festival loaf), and taking in salads, starters, fish, poultry and plenty more along the way, these are simple and stylish recipes from the heart of the French family kitchen. Illustrated with stunning integrated photographs and complemented by anecdotes from her family, past and present, The French Kitchen will be a must-have cookbook for all lovers of food and France.",4.09,"The French Kitchen",,,,,,
"1","Author","Joanne Harris","WROTE","5058","Book",1999,"9780552997997","When an exotic stranger, Vianne Rocher, arrives in the French village of Lansquenet and opens a chocolaterie directly opposite the church, Father Reynaud identifies her as a danger to his flock - especially as it is the beginning of Lent. War is declared as the priest denounces the newcomer's wares as the ultimate sin. Suddenly Vianne's shop-cum-cafe means that there is somewhere for secrets and grievances. But Vianne's plans for an Easter Chocolate Festival divide the whole community into an escalating 'Church not Chocolate' battle.",3.96,"Chocolat",,,,,,
"1","Author","Joanne Harris","WROTE","5059","Book",2001,"9780552998000","Everyday Magic, He Called It. The Transformation Of Base Matter Into The Stuff Of Dreams. Layman S Alchemy.Jay Mackintosh Is Trapped By Memory In The Old Familiar Landscapes Of His Childhood, More Enticing Than The Present, And To Which He Longs To Return.A Bottle Of Home-Brewed Wine Left To Him By A Long-Vanished Friend Seems To Provide Both The Key To An Old Mystery And A Doorway Into Another World. As The Unusual Properties Of The Strange Brew Take Effect, Jay Escapes To A Derelict Farmhouse In The French Village Of Lansquenet, Where A Ghost From The Past Waits To Confront Him, And The Reclusive Marise Haunted, Lovely And Dangerous Hides A Terrible Secret Behind Her Closed Shutters. Between Them, A Mysterious Chemistry. Or Could It Be Magic?",3.79,"Blackberry Wine",,,,,,
"1","Author","Joanne Harris","WROTE","5063","Book",2000,"9780552998482","Try me...Test me...Taste me.When an exotic stranger, Vianne Rocher, arrives in the French village of Lansquenet and opens a chocolate boutique directly opposite the church, Father Reynaud identifies her as a serious danger to his flock especially as it",3.96,"Chocolat. Joanne Harris",,,,,,
"1","Author","Joanne Harris","WROTE","5071","Book",2002,"9780552998833","Beyond The Main Street Of Les Laveuses Runs The Loire, Smooth And Brown As A Sunning Snake - But Hiding A Deadly Undertow Beneath Its Moving Surface. This Is Where Framboise, A Secretive Widow Named After A Raspberry Liqueur, Plies Her Culinary Trade At The Crêperie - And Lets Memory Play Strange Games.Into This World Comes The Threat Of Revelation As Framboise S Nephew A Profiteering Parisian Attempts To Exploit The Growing Success Of The Country Recipes She Has Inherited From Her Mother, A Woman Remembered With Contempt By The Villagers Of Les Laveuses. As The Spilt Blood Of A Tragic Wartime Childhood Flows Again, Exposure Beckons For Framboise, The Widow With An Invented Past.Joanne Harris Has Looked Behind The Drawn Shutters Of Occupied France To Illuminate The Pain, Delight And Loss Of A Life Changed For Ever By The Uncertainties And Betrayals Of War.",3.85,"Five Quarters of the Orange",,,,,,
"1","Author","Joanne Harris","WROTE","11073","Book",2009,"9780061843181","Before the sweet delight of Chocolat, before the heady concoction that is Blackberry Wine, and before the tart pleasures of Five Quarters of the Orange, bestselling author Joanne Harris wrote Sleep, Pale Sister -- a gothic tourde-force that recalls the powerfully dark sensibility of her novel Holy Fools. Originally published in 1994 -- and never before available in the United States -- Sleep, Pale Sister is a hypnotically atmospheric story set in nineteenth century London. When puritanical artist Henry Chester sees delicate child beauty Effie, he makes her his favorite model and, before long, his bride. But Henry, volatile and repressed, is in love with an ideal. Passive, docile, and asexual, the woman he projects onto Effie is far from the woman she really is. And when Effie begins to discover the murderous depths of Henry's hypocrisy, her latent passion will rise to the surface. Sleep, Pale Sister combines the ethereal beauty of a Pre-Raphaelite painting with a chilling high gothic tale and is a testament to Harris's brimming cornucopia of talents. This P.S. edition features an extra 16 pages of insights into the book, including author interviews, recommended reading, and more.",0,"Sleep, Pale Sister",,,,,,
"3","Author","Scott Westerfeld","WROTE","0","Book",2009,"9780061954597","This is the second book in New York Times bestselling author Scott Westerfeld’s Midnighters series. As the Midnighters search for the truth about the secret hour, they uncover terrifying mysteries woven into the very fabric of Bixby’s history, and a conspiracy that touches the world of daylight. This time Jessica Day is not the only Midnighter in mortal danger, and if the group can’t find a way to come together, they could lose one of their own . . . forever. Touching Darkness is the second book in the Midnighters trilogy, from the New York Times bestselling author of the Uglies series.",0,"Midnighters #2: Touching Darkness",,,,,,
"3","Author","Scott Westerfeld","WROTE","10120","Book",2005,"9781595140326","Trend-spotter and fashion expert Hunter Braque must use all of his cool-hunting talents to find a big-money client who has mysteriously disappeared. Reprint.",3.58,"So Yesterday",,,,,,
"6","Author","Megan Whalen Turner","WROTE","2","Book",2009,"9780061968464","Discover the world of the Queen’s Thief New York Times-bestselling author Megan Whalen Turner’s entrancing and award-winning Queen’s Thief novels bring to life the world of the epics and feature one of the most charismatic and incorrigible characters of fiction, Eugenides the thief. Megan Whalen Turner’s Queen’s Thief novels are rich with political machinations and intrigue, battles lost and won, dangerous journeys, divine intervention, power, passion, revenge, and deception. Perfect for fans of Leigh Bardugo, Marie Lu, Patrick Rothfuss, and George R. R. Martin. The brilliant thief Eugenides has visited the Queen of Attolia’s palace one too many times, leaving small tokens and then departing unseen. When his final excursion does not go as planned, he is captured by the ruthless queen. The Queen’s Thief novels have been praised by writers, critics, reviewers, and fans and have been honored with glowing reviews, “best of” citations, and numerous awards, including the Los Angeles Times Book Prize, a Newbery Honor, the Andre Norton Award shortlist, and the Mythopoeic Fantasy Award. Discover and rediscover the stand-alone companions, The Queen of Attolia, The King of Attolia, A Conspiracy of Kings, and Thick as Thieves, all epic novels set in the world of the Queen’s Thief. A Booklist Top 10 Fantasy Books for Youth ALA Popular Paperbacks for Young Adults A New York Public Library Book for the Teen Age Parent’s Choice Gold Award A Bulletin of the Center for Children’s Books Blue Ribbon Book “The Queen’s Thief books awe and inspire me. They have the feel of a secret, discovered history of real but forgotten lands. The plot-craft is peerless, the revelations stunning, and the characters flawed, cunning, heartbreaking, exceptional. Megan Whalen Turner’s books have a permanent spot on my favorites shelf, with space waiting for more books to come.”—Laini Taylor, New York Times-bestselling author of the Daughter of Smoke and Bone novels and Strange the Dreamer 'Unforgettable characters, plot twists that will make your head spin, a world rendered in elegant detail—you will fall in love with every page of these stories. Megan Whalen Turner writes vivid, immersive, heartbreaking fantasy that will leave you desperate to return to Attolia again and again.'—Leigh Bardugo, New York Times-bestselling author of the The Grisha Trilogy and Six of Crows “Megan Whalen Turner proves to be one of the brightest creative talents. With each book, she continues to add new levels and new luster to her sparkling imagination.”—Lloyd Alexander, Newbery Medalist and National Book Award-winning author of The Chronicles of Prydain “Readers will be spellbound.”—Kirkus Reviews (starred review) “Turner’s storytelling is so sure that readers will want to go along with her—and discover whatever it is that Eugenides will do next.”—Publishers Weekly (starred review) “[An] intense read . . . thoroughly involving and wholly satisfying on all fronts.”—The Horn Book (starred review)",0,"The Queen of Attolia",,,,,,
