"~id","~start_node_id","~end_node_id","~relationship_type"
"1155188697583321089","1","824","WROTE"
"1157440497397006337","1","3329","WROTE"
"1159692297210691585","1","5058","WROTE"
"1161944097024376833","1","5059","WROTE"
"1164195896838062081","1","5063","WROTE"
"1166447696651747329","1","5071","WROTE"
"1152936897769635841","1","11073","WROTE"
"1152936897769635843","3","0","WROTE"
"1155188697583321091","3","10120","WROTE"
"1152936897769635846","6","2","WROTE"
"1152936897769635848","8","5","WROTE"
"1155188697583321096","8","6220","WROTE"
"1157440497397006344","8","7656","WROTE"
"1152936897769635849","9","7","WROTE"
"1152936897769635850","10","7","WROTE"
"1152936897769635851","11","7","WROTE"
"1152936897769635852","12","7","WROTE"
"1152936897769635853","13","7","WROTE"
"1152936897769635856","16","14","WROTE"
"1152936897769635858","18","15","WROTE"
"1152936897769635860","20","17","WROTE"
"1155188697583321108","20","8186","WROTE"
"1152936897769635863","23","21","WROTE"
"1155188697583321111","23","5904","WROTE"
"1157440497397006359","23","8555","WROTE"
"1152936897769635866","26","25","WROTE"
"1152936897769635868","28","25","WROTE"
"1152936897769635870","30","27","WROTE"
"1155188697583321118","30","4022","WROTE"
"1157440497397006366","30","4033","WROTE"
"1159692297210691614","30","4105","WROTE"
"1161944097024376862","30","4120","WROTE"
"1164195896838062110","30","4122","WROTE"
"1166447696651747358","30","6466","WROTE"
"1168699496465432606","30","8407","WROTE"
"1170951296279117854","30","8409","WROTE"
"1152936897769635872","32","29","WROTE"
"1152936897769635875","35","31","WROTE"
"1155188697583321123","35","374","WROTE"
"1152936897769635878","38","34","WROTE"
"1155188697583321126","38","37","WROTE"
"1157440497397006374","38","39","WROTE"
"1159692297210691622","38","52","WROTE"
"1161944097024376870","38","53","WROTE"
"1164195896838062118","38","54","WROTE"
"1166447696651747366","38","55","WROTE"
"1168699496465432614","38","66","WROTE"
"1170951296279117862","38","8382","WROTE"
"1152936897769635882","42","40","WROTE"
"1152936897769635885","45","41","WROTE"
"1152936897769635887","47","44","WROTE"
"1155188697583321135","47","48","WROTE"
"1157440497397006383","47","56","WROTE"
